Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Albany,Weekly,"2019-01-07 00:00:00",Conventional,0.921801566,111277.47,3541.90,95713.80,149.31,10904.73,0.00,0.00,0.00,967.73
Albany,Weekly,"2019-01-13 00:00:00",Conventional,0.906561129,115663.46,2920.69,101796.05,181.26,10072.66,0.00,0.00,0.00,692.81
Albany,Weekly,"2019-01-20 00:00:00",Conventional,0.998831048,146107.67,4322.20,123402.11,179.63,17223.11,0.00,0.00,0.00,980.61
Albany,Weekly,"2019-01-27 00:00:00",Conventional,1.052065122,80297.47,3380.41,64018.59,210.82,11065.69,0.00,0.00,0.00,1621.96
Albany,Weekly,"2019-02-03 00:00:00",Conventional,0.798757561,186952.91,4371.56,169578.61,357.67,11217.30,0.00,0.00,0.00,1427.77
Albany,Weekly,"2019-02-10 00:00:00",Conventional,0.882870237,109116.23,4769.70,91719.84,158.76,11024.20,0.00,0.00,0.00,1443.73
Albany,Weekly,"2019-02-17 00:00:00",Conventional,1.039362128,93261.92,4653.38,76693.32,219.24,10975.71,0.00,0.00,0.00,720.26
Albany,Weekly,"2019-02-24 00:00:00",Conventional,0.880905745,114022.18,3766.89,98810.45,200.67,9638.35,0.00,0.00,0.00,1605.82
Albany,Weekly,"2019-03-03 00:00:00",Conventional,1.080489770,95694.77,3949.87,79013.49,231.53,10868.92,0.00,0.00,0.00,1630.97
Albany,Weekly,"2019-03-10 00:00:00",Conventional,0.821932997,157968.18,3668.23,143421.21,244.83,10022.00,0.00,0.00,0.00,611.91
Albany,Weekly,"2019-03-17 00:00:00",Conventional,1.049817661,95303.66,3858.18,75480.68,230.91,15336.03,0.00,0.00,0.00,397.87
Albany,Weekly,"2019-03-24 00:00:00",Conventional,0.909840811,138460.47,3989.66,121152.81,192.78,12607.55,0.00,0.00,0.00,517.66
Albany,Weekly,"2019-03-31 00:00:00",Conventional,1.044839841,99901.10,3637.65,77480.03,219.00,18272.37,0.00,0.00,0.00,292.05
Albany,Weekly,"2019-04-07 00:00:00",Conventional,0.839517566,145373.38,4795.70,126467.50,285.88,13593.42,0.00,0.00,0.00,230.87
Albany,Weekly,"2019-04-14 00:00:00",Conventional,1.132011896,88281.25,3954.36,71422.96,241.82,12536.90,0.00,0.00,0.00,125.20
Albany,Weekly,"2019-04-21 00:00:00",Conventional,1.475811756,94805.51,3476.38,77648.98,310.40,13260.47,0.00,0.00,0.00,109.29
Albany,Weekly,"2019-04-28 00:00:00",Conventional,1.542950896,79953.06,3706.59,64053.03,257.29,11807.40,0.00,0.00,0.00,128.76
Albany,Weekly,"2019-05-05 00:00:00",Conventional,1.229378195,151104.57,5051.53,133086.54,389.74,12238.69,0.00,0.00,0.00,338.07
Albany,Weekly,"2019-05-12 00:00:00",Conventional,1.491083581,107711.42,4303.06,89501.34,234.52,13469.99,0.00,0.00,0.00,202.51
Albany,Weekly,"2019-05-19 00:00:00",Conventional,1.636085987,120344.14,3327.48,102539.21,259.88,13467.28,0.00,0.00,0.00,750.29
Albany,Weekly,"2019-05-26 00:00:00",Conventional,1.605431935,108192.36,4441.07,89867.69,246.18,12850.96,0.00,0.00,0.00,786.46
Albany,Weekly,"2019-06-02 00:00:00",Conventional,1.604726281,101317.05,3149.09,83967.41,265.54,13673.91,0.00,0.00,0.00,261.10
Albany,Weekly,"2019-06-09 00:00:00",Conventional,1.653283495,142479.52,4717.88,122078.74,204.56,13352.56,0.00,0.00,0.00,2125.78
Albany,Weekly,"2019-06-16 00:00:00",Conventional,1.325531453,129268.16,3475.63,111891.35,199.17,12145.80,0.00,0.00,0.00,1556.21
Albany,Weekly,"2019-06-23 00:00:00",Conventional,1.581455480,121184.28,2891.30,100711.65,388.03,13634.40,0.00,0.00,0.00,3558.90
Albany,Weekly,"2019-06-30 00:00:00",Conventional,1.505042065,100888.62,2843.69,76888.37,416.47,17444.93,0.00,0.00,0.00,3295.16
Albany,Weekly,"2019-07-07 00:00:00",Conventional,1.557649926,105531.44,3010.46,84225.74,304.18,14848.41,0.00,0.00,0.00,3142.65
Albany,Weekly,"2019-07-14 00:00:00",Conventional,1.525633873,100463.81,2930.69,83146.04,262.13,11305.58,0.00,0.00,0.00,2819.37
Albany,Weekly,"2019-07-21 00:00:00",Conventional,1.571836356,92779.96,2915.18,76354.33,291.03,11747.85,0.00,0.00,0.00,1471.56
Albany,Weekly,"2019-07-28 00:00:00",Conventional,1.653728266,86019.56,3606.50,68036.82,491.07,11722.18,0.00,0.00,0.00,2163.00
Albany,Weekly,"2019-08-04 00:00:00",Conventional,1.603503504,87358.89,3852.67,68837.50,457.97,11864.00,0.00,0.00,0.00,2346.75
Albany,Weekly,"2019-08-11 00:00:00",Conventional,1.533176947,91043.36,3947.66,70014.90,1840.78,13188.86,0.00,0.00,0.00,2051.16
Albany,Weekly,"2019-08-18 00:00:00",Conventional,1.437172984,100921.16,8506.19,76919.06,548.01,12006.35,0.00,0.00,0.00,2941.56
Albany,Weekly,"2019-08-25 00:00:00",Conventional,1.340949267,91924.84,9320.25,70245.62,466.90,10721.86,0.00,0.00,0.00,1170.22
Albany,Weekly,"2019-09-01 00:00:00",Conventional,1.471590963,99262.47,8469.95,78311.92,355.73,10502.13,0.00,0.00,0.00,1622.76
Albany,Weekly,"2019-09-08 00:00:00",Conventional,1.479116149,97455.83,7771.21,72540.53,431.23,14241.64,0.00,0.00,0.00,2471.21
Albany,Weekly,"2019-09-15 00:00:00",Conventional,1.560548123,104200.57,6070.98,87328.63,140.70,9060.69,0.00,0.00,0.00,1599.57
Albany,Weekly,"2019-09-22 00:00:00",Conventional,1.335099247,86962.97,4704.22,71034.96,149.48,9312.52,0.00,0.00,0.00,1761.79
Albany,Weekly,"2019-09-29 00:00:00",Conventional,1.363350506,141190.07,4024.37,124930.82,110.10,8591.66,0.00,0.00,0.00,3533.12
Albany,Weekly,"2019-10-06 00:00:00",Conventional,1.242837471,102576.53,4549.18,82626.49,95.60,13354.75,0.00,0.00,0.00,1950.50
Albany,Weekly,"2019-10-13 00:00:00",Conventional,1.452822810,86564.48,4186.33,70525.35,98.36,8528.30,0.00,0.00,0.00,3226.14
Albany,Weekly,"2019-10-20 00:00:00",Conventional,1.287874788,100855.38,4059.89,84433.87,118.98,9182.76,0.00,0.00,0.00,3059.88
Albany,Weekly,"2019-10-27 00:00:00",Conventional,1.351592831,108087.68,3526.98,90577.01,105.29,9331.31,0.00,0.00,0.00,4547.08
Albany,Weekly,"2019-11-03 00:00:00",Conventional,1.224583196,78202.43,2959.73,61674.16,117.73,9054.39,0.00,0.00,0.00,4396.42
Albany,Weekly,"2019-11-10 00:00:00",Conventional,1.200986894,92291.92,4006.11,76136.08,87.89,8930.21,0.00,0.00,0.00,3131.63
Albany,Weekly,"2019-11-17 00:00:00",Conventional,1.172488461,124046.50,4070.80,107364.27,129.70,8640.02,0.00,0.00,0.00,3841.71
Albany,Weekly,"2019-11-24 00:00:00",Conventional,1.174363573,82650.15,3578.93,64966.03,130.63,9779.30,0.00,0.00,0.00,4195.26
Albany,Weekly,"2019-12-01 00:00:00",Conventional,1.197096142,77929.47,2906.60,60240.10,78.29,11204.90,0.00,0.00,0.00,3499.58
Albany,Weekly,"2019-12-08 00:00:00",Conventional,1.227088386,102088.76,3234.81,83319.83,130.29,10043.45,0.00,0.00,0.00,5360.38
Albany,Weekly,"2019-12-15 00:00:00",Conventional,1.092785027,103030.79,3682.52,82520.47,146.55,10916.11,0.00,0.00,0.00,5765.13
Albany,Weekly,"2019-12-22 00:00:00",Conventional,1.247479424,99288.35,3263.76,80378.48,122.21,9383.00,0.00,0.00,0.00,6140.90
Albany,Weekly,"2019-12-29 00:00:00",Conventional,1.075807150,96724.38,2771.29,79619.53,172.83,9407.78,0.00,0.00,0.00,4752.95
Atlanta,Weekly,"2019-01-07 00:00:00",Conventional,0.953243075,728914.46,347480.36,33920.65,3280.28,83374.62,0.00,0.00,0.00,260858.56
Atlanta,Weekly,"2019-01-13 00:00:00",Conventional,0.939336770,753538.69,353448.91,31571.24,4541.22,83131.47,0.00,0.00,0.00,280845.85
Atlanta,Weekly,"2019-01-20 00:00:00",Conventional,0.940535140,751480.57,337495.73,31417.06,3767.14,111875.10,0.00,0.00,0.00,266925.54
Atlanta,Weekly,"2019-01-27 00:00:00",Conventional,0.966406642,725320.98,336255.05,33343.00,3558.75,119191.57,0.00,0.00,0.00,232972.60
Atlanta,Weekly,"2019-02-03 00:00:00",Conventional,0.878309124,891758.52,416981.67,33467.05,5559.86,117399.90,0.00,0.00,0.00,318350.05
Atlanta,Weekly,"2019-02-10 00:00:00",Conventional,0.868660220,721238.18,330949.73,26861.52,3381.83,92970.04,0.00,0.00,0.00,267075.07
Atlanta,Weekly,"2019-02-17 00:00:00",Conventional,0.916503698,682729.33,296422.91,26231.24,2714.20,95606.18,0.00,0.00,0.00,261754.80
Atlanta,Weekly,"2019-02-24 00:00:00",Conventional,0.977590855,634325.09,275867.23,26491.29,2894.26,109152.41,0.00,0.00,0.00,219919.90
Atlanta,Weekly,"2019-03-03 00:00:00",Conventional,0.999936571,674800.33,324227.60,31208.11,2615.63,118252.94,0.00,0.00,0.00,198496.05
