"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 6, 2019","2019","Actual","39,644,522","N/A","1,111,244","38,533,278","N/A","N/A","N/A"
"Jan 13, 2019","2019","Actual","73,115,987","71,558","1,154,459","71,889,970","N/A","N/A","N/A"
"Jan 20, 2019","2019","Actual","73,262,502","35,452","681,725","72,545,325","N/A","N/A","N/A"
"Jan 27, 2019","2019","Actual","59,200,492","306,018","676,866","58,217,608","N/A","N/A","N/A"
"Feb 3, 2019","2019","Actual","45,231,823","225,945","584,756","44,421,122","N/A","N/A","N/A"
"Feb 10, 2019","2019","Actual","39,391,270","129,957","497,035","38,764,278","N/A","N/A","N/A"
"Feb 17, 2019","2019","Actual","52,838,523","218,968","410,166","52,209,389","N/A","N/A","N/A"
"Feb 24, 2019","2019","Actual","60,985,301","397,103","184,891","60,355,899","47,407","N/A","N/A"
"Mar 3, 2019","2019","Actual","56,315,469","689,283","223,611","55,402,575","N/A","N/A","N/A"
"Mar 10, 2019","2019","Actual","55,687,317","563,806","224,208","54,899,303","N/A","N/A","N/A"
"Mar 17, 2019","2019","Actual","57,661,257","1,115,176","45,885","56,500,196","N/A","N/A","N/A"
"Mar 24, 2019","2019","Actual","47,860,338","1,571,282","N/A","46,289,056","N/A","N/A","N/A"
"Mar 31, 2019","2019","Actual","57,772,402","3,431,234","N/A","54,341,168","N/A","N/A","N/A"
"Apr 7, 2019","2019","Actual","66,309,565","7,995,697","N/A","58,313,868","N/A","N/A","N/A"
"Apr 14, 2019","2019","Actual","71,757,754","11,103,220","N/A","60,654,534","N/A","N/A","N/A"
"Apr 21, 2019","2019","Actual","41,226,066","9,894,095","N/A","31,142,340","189,631","N/A","N/A"
"Apr 28, 2019","2019","Actual","43,710,990","9,434,335","N/A","33,470,724","805,931","N/A","N/A"
"May 5, 2019","2019","Actual","37,778,586","7,274,131","N/A","29,034,816","1,469,639","N/A","N/A"
"May 12, 2019","2019","Actual","45,314,468","6,719,247","N/A","36,841,135","1,754,085","N/A","N/A"
"May 19, 2019","2019","Actual","50,595,179","9,208,998","N/A","36,977,263","4,408,917","N/A","N/A"
"May 26, 2019","2019","Actual","53,448,347","11,609,804","N/A","35,628,132","6,210,411","N/A","N/A"
"Jun 2, 2019","2019","Actual","48,758,242","9,115,908","N/A","29,686,713","9,955,620","N/A","N/A"
"Jun 9, 2019","2019","Actual","44,060,017","10,069,551","N/A","22,660,021","11,330,445","N/A","N/A"
"Jun 16, 2019","2019","Actual","43,165,973","10,904,000","N/A","18,987,812","13,274,161","N/A","N/A"
"Jun 23, 2019","2019","Actual","43,112,741","12,526,752","N/A","12,902,910","17,683,079","N/A","N/A"
"Jun 30, 2019","2019","Actual","38,519,597","13,700,507","N/A","8,653,058","16,166,032","N/A","N/A"
"Jul 7, 2019","2019","Actual","51,446,909","12,657,672","N/A","21,024,383","17,764,854","N/A","N/A"
"Jul 14, 2019","2019","Actual","54,169,319","12,772,597","N/A","23,998,089","17,398,633","N/A","N/A"
"Jul 21, 2019","2019","Actual","51,585,051","9,892,498","N/A","27,328,014","14,364,539","N/A","N/A"
"Jul 28, 2019","2019","Actual","53,521,551","7,545,211","N/A","31,327,355","14,648,985","N/A","N/A"
"Aug 4, 2019","2019","Actual","39,624,707","5,407,640","94,816","22,270,321","11,851,930","N/A","N/A"
"Aug 11, 2019","2019","Actual","30,887,574","4,205,974","235,947","18,955,232","7,490,420","N/A","N/A"
"Aug 18, 2019","2019","Actual","49,712,129","3,864,187","328,453","38,218,699","7,300,789","N/A","N/A"
"Aug 25, 2019","2019","Actual","48,325,702","3,013,192","1,245,093","40,322,206","3,745,210","N/A","N/A"
"Sep 1, 2019","2019","Actual","37,090,495","2,233,704","1,684,129","29,806,714","3,365,948","N/A","N/A"
"Sep 8, 2019","2019","Actual","44,957,024","1,099,090","2,405,413","40,172,513","1,280,008","N/A","N/A"
"Sep 15, 2019","2019","Actual","51,760,427","934,008","2,831,699","47,331,012","663,708","N/A","N/A"
